,id,name,age,username_twitter,hashtag,job,description,image,category,country,year,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi
99,q58,Neyda Rojas,52.0,,,Nun,"Venezuela has some of the most understaffed, under-resourced and overcrowded jails in the world, and Neyda has been visiting them for 17 years. She is known as ‘the white drop’ - a reference to her nun’s habit. In addition to teaching history and maths to the inmates, she has been involved in kidnapping mediation, delivering babies, and helping the sick.",,,Venezuela (Bolivarian Republic of),2015,"323,595",10568.1,"63,78147299","0,691",,,"0,769"
100,3GM,Precious Adams,25.0,,,Ballet dancer,"Precious Adams spent so much time dancing round the living room as a child, that her mum signed her up for dance lessons. She trained at several top ballet schools, including the National Ballet School of Canada, the Princess Grace Academy in Monaco and the Bolshoi Ballet Academy in Moscow.",https://c.files.bbci.co.uk/16690/production/_109129719_precious_adams_300.jpg,creativity,United States of America (the),2019,"21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926"
101,3JB,Parveena Ahanger,59.0,,#StandWithKashmir #100Women #FreeKashmir,Human rights activist,"Parveena is known as the ""Iron lady of Kashmir"". Her teenage son disappeared in 1990, at the height of an uprising against Indian rule in Kashmir. ",https://c.files.bbci.co.uk/31F8/production/_109129721_parveena_ahangar_300.jpg,identity,India,2019,"2868,93",2097.782,"27,38409038","0,668",,25,"0,645"
102,3Ma,Piera Aiello,52.0,@aiello_piera,#PieraAiello #Mafia #antimafianewmedia,Politician,"Known as Italy's ""ghost"" politician, Piera Aiello ran for office with her face covered by a veil due to threats from the mafia. In 2018, after winning her seat as an anti-mafia candidate, she finally revealed her face to the public.",https://c.files.bbci.co.uk/C066/production/_109145294_piera_aiello_300.jpg,identity,Italy,2019,"2001,466",33159.068,"69,39742507","0,707","27,8",0,"0,892"
103,hGA,Jasmin Akter,18.0,@Jazz_Akter,#inspiringwomen #sport #WomensSports #WomensCricket #BBC100,Cricketer,"Jasmin is Rohingya, described by the UN as one of the most persecuted minorities in the world. She was born in a refugee camp in Bangladesh just after her father died.",https://c.files.bbci.co.uk/D814/production/_109161355_jasmin_akter_300.jpg,sport,Bangladesh,2019,"302,525",1816.035,"44,62028951","0,726",,25,"0,632"
104,WfV,Manal AlDowayan,46.0,@ManalAlDowayan,#UN_Women @BBC100women #ManalAldowayan,Artist,"Contemporary artist Manal AlDowayan's work explores invisibility, archives, memory and the representation of women in her country. From black and white photographs of Saudi Arabia's female workforce, to a frozen flock of birds imprinted with the permission slip Saudi women require to travel. ",https://c.files.bbci.co.uk/1832A/production/_109141199_manal_aldowayan_300.jpg,creativity,Saudi Arabia,2019,"792,967",23266.486,"28,17961516","0,599",,25,"0,854"
105,bHT,Kimia Alizadeh,21.0,@ki_alizadeh,#KimiaAlizadeh #Olympics #Iran #Tokyo2020,Athlete,"In 2016, Kimia became the first Iranian woman to win a medal at the Olympics since the country began competing in 1948. As a taekwondo athlete, Kimia is credited with ""emboldening Iranian girls and women to push the boundaries of personal freedom"" by the UK's Financial Times newspaper.",https://c.files.bbci.co.uk/175C4/production/_109148659_kimia_alizadeh_300.jpg,sport,Iran (Islamic Republic of),2019,"583,698",7009.762,"24,30977363","0,584",,50,"0,783"
106,3BP,Alanoud Alsharekh,,@AAlsharekh,#AlAnoudAlSharekh #BBC100Women #100Women,Women's rights activist,"Dr Alanoud Alsharekh is a founding member of the Abolish 153 campaign, calling for Kuwait's ""honour-killing"" law to be scrapped.",https://c.files.bbci.co.uk/5908/production/_109129722_alanoud_alsharekh.jpg,leadership,Kuwait,2019,"135,387",28499.788,"56,80702994","0,65",,50,"0,806"
107,txT,Marwa Al-Sabouni,38.0,@marwa_alsabouni,@FestivalofIdeas @bbcworldservice,Architect,"When war broke out in architect Marwa Al-Sabouni's home city of Homs, Syria, she refused to leave.",https://c.files.bbci.co.uk/0AE8/production/_109129720_marwa_al_sabouni_300.jpg,creativity,Syrian Arab Republic,2019,,,"19,78760638","0,567",,50,"0,567"
108,36Q,Rida Al Tubuly,57.0,@RidaAltubuly,#WomenMediators,Peace campaigner,"Rida Al Tubuly is one of many women pushing for gender equality - but she's doing it from a warzone. Her organisation, Together We Build It, pushes for women's involvement in solving Libya's conflict.",https://c.files.bbci.co.uk/00D6/production/_109141200_rida_altubuly_300.jpg,identity,Libya,2019,"39,832",6055.464,"52,10663409",,,25,"0,724"
109,NwA,Tabata Amaral,26.0,@tabataamaralsp,,Congresswoman,"Tabata Amaral, one of Brazil's youngest congresswomen, came to national attention this year when a video of her grilling the country's education minister went viral. ",https://c.files.bbci.co.uk/9956/production/_109145293_tabata_amaral_300.jpg,leadership,Brazil,2019,"1839,077",8751.381,"74,09549601","0,691",,25,"0,765"
110,3Ft,Yalitza Aparicio,26.0,@YalitzaAparicio,,Actress/Human rights activist,"Yalitza Aparicio trained as a primary school teacher, but ended up being cast as the lead in Alfonso Cuarón's Oscar-winning film Roma after accompanying her sister to the audition.",https://c.files.bbci.co.uk/B72D/production/_109139864_yalitza_aparicio_300.jpg,creativity,Mexico,2019,"1258,206",9862.44,"58,07109577","0,754","42,1",25,"0,779"
111,5oH,Dayna Ash,,,#lebanesewomen @BBCWorld @BBCArabic,Cultural activist,"Born in Lebanon but raised in the US, poet Dayna Ash was shocked when she was advised to hide her sexuality on her return to Beirut at 16.",https://c.files.bbci.co.uk/27E6/production/_109141201_dayna_ash_300.jpg,creativity,Lebanon,2019,"52,522",7661.073,"32,0304922","0,599",,50,"0,744"
112,SvJ,Dina Asher-Smith,24.0,@dinaashersmith,#runningnetwork,Athlete,Dina is the fastest woman in British history and the first British woman to win a major global sprint title.,https://c.files.bbci.co.uk/1047C/production/_109148666_dina_asher_smith_300.jpg,sport,United Kingdom of Great Britain and Northern Ireland (the),2019,"2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932"
113,33m,MiMi Aung,51.0,,#WomenInSTEM @NASAPersevere,Project manager NASA,"NASA's MiMi Aung is responsible for a team designing a helicopter to fly on Mars. After travelling alone from Myanmar to the US to further her education at 16, MiMi is now project manager at the NASA Jet Propulsion Laboratory (JPL), California Institute of Technology.",https://c.files.bbci.co.uk/8018/production/_109129723_mimi_aung_300.jpg,knowledge,United States of America (the),2019,"21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926"
114,3ZL,Nisha Ayub,40.0,@NishaAyub1,#BBC @SEEDMalaysia #100Women #LGBT,Transgender activist,"At 21, trans woman Nisha Ayub was sentenced to three months in a male prison under a provision of Sharia law which prohibits ""a male person wearing women's attire or posing as a woman in a public space.” ",https://c.files.bbci.co.uk/A728/production/_109129724_nisha_ayub_300.jpg,identity,Malaysia,2019,"364,684",11193.016,"66,3092616","0,677",,50,"0,81"
115,s2Y,Judith Bakirya,50.0,,#Uganda #BBC100women #BBC100women,Farmer,"Raised on a farm in Uganda, Judith Bakirya became the first of her peers to win a scholarship to a prestigious girls' boarding school, going on to obtain a masters in the UK and a job in the City.",https://c.files.bbci.co.uk/CE38/production/_109129725_judith_bakirya_300.jpg,earth,Uganda,2019,"36,484",916.156,"91,21014283","0,717",,25,"0,544"
