Unnamed: 0,name,username_twitter,hashtag,age,job,country,description,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi,year,image,category
52,Erika Lust,@erikalust,#ErikaLust,42,Filmmaker,Sweden,An award-winning independent adult filmmaker exploring how women can help shape the future of porn.,"530,884",51404.434,"90,38404931","0,82","54,5",50,"0,945",2019,https://c.files.bbci.co.uk/13F3B/production/_109132718_erika_lust_300.jpg,creativity
53,Lauren Mahon,@iAmLaurenMahon,,34,Cancer survivor,United Kingdom of Great Britain and Northern Ireland (the),"Nominated for BBC 100 Women list by Jameela Jamil and the I Weigh community, Lauren Mahon is one third of the powerhouse trio ""kicking cancer's arse"" on BBC 5 Live's podcast You, Me & The Big C.","2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/B65C/production/_109148664_lauren_mahon_300.jpg,creativity
54,Julie Makani,@juliemakani,#Tanzania #Africa,49,Doctor/scientist,"Tanzania, United Republic of","Julie is from Tanzania, one of five countries in the world with the highest estimated number Sickle Cell Disease (SCD) births annually. She has dedicated the past two decades to research on treatment for the disease and working to influence health policies so that individuals across Africa can access vital diagnostic tests and medicines. ","60,81",1079.684,"91,36666054","0,713",,25,"0,529",2019,https://c.files.bbci.co.uk/17B6D/production/_109133179_julie_makani_300.jpg,knowledge
55,Lisa Mandemaker,,#LisaMandemaker,,Speculative designer,Netherlands (the),"Lisa Mandemaker is leading the team building a prototype artificial womb, in collaboration with the Máxima Medical Centre in Holland.","907,151",52646.193,"84,75793633","0,736","35,3",50,"0,944",2019,https://c.files.bbci.co.uk/1FC5/production/_109133180_lisa_mandemaker_300.jpg,creativity
56,Jamie Margolin,@Jamie_Margolin,,18,Climate change activist,United States of America (the),"At 16, Jamie co-founded the Zero Hour movement, using social media to organise the first youth climate change marches in 25 cities, including Washington DC.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/46D5/production/_109133181_jamie_margolin_300.jpg,earth
57,Francia Marquez,@FranciaMarquezM,#AfroColombians,37,Environmentalist,Colombia,"A formidable leader of the Afro-Colombian community, Francia Márquez spearheaded a 10-day, 350-mile women's march to the country's capital, to take back their ancestral land from illegal gold miners.","323,561",6423.179,"70,11479792","0,758","52,9",25,"0,767",2019,https://c.files.bbci.co.uk/1536D/production/_109139868_francia_marquez_300.jpg,earth
58,Gina Martin,@ginamartinuk,,26,Campaigner,United Kingdom of Great Britain and Northern Ireland (the),"After being upskirted at a music festival, Gina Martin launched a campaign to make upskirting illegal in England and Wales. The law was changed this year after an 18-month legal fight.","2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/6DE5/production/_109133182_gina_martin_300.jpg,leadership
59,Sarah Martins Da Silva,@SMDS_research,#fertility,,Consultant gynaecologist/obstetrician,United Kingdom of Great Britain and Northern Ireland (the),Sarah is one of Scotland's leading gynaecologists.,"2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/94F5/production/_109133183_sarah_martins_da_silva_300.jpg,knowledge
60,Raja Meziane,@RajaMeziane,,31,Singer ,Algeria,"Singer Raja Meziane's political music video Allo le Système! has been viewed more than 35 million times on YouTube. Her anti-government songs tackling social injustice, alleged corruption and inequality have seen her forced into exile from Algeria.","169,267",3898.011,"25,10330533","0,634",,25,"0,748",2019,https://c.files.bbci.co.uk/EB36/production/_109141206_raja_meziane_300.jpg,creativity
61,Susmita Mohanty,"@suz_moonwalker
",#100women,48,Space entrepreneur,India,"Hailed as 'India's space woman', spaceship designer Susmita founded India's first space start-up.","2868,93",2097.782,"27,38409038","0,668",,25,"0,645",2019,https://c.files.bbci.co.uk/BC05/production/_109133184_sushmita_mohanty_300.jpg,knowledge
62,Benedicte Mundele,@benesthermunde1,#Benedictemundele #BBC100women,26,Fresh food entrepreneur,Congo (the Democratic Republic of the),"When Benedicte looked around the Democratic Republic of Congo, she could see plenty of raw produce from potato to passionfruit, but still people were living in food poverty.","49,816",508.953,"92,07428087","0,578",,25,"0,48",2019,https://c.files.bbci.co.uk/E315/production/_109133185_benedicte_mundele_300.jpg,knowledge
63,Subhalakshmi Nandi,@SubhalakshmiN,#100women,,Gender equality expert,India,"Based at the International Center for Research on Women, Subhalakshmi has spent over 15 years working to improve gender equality in Asia.","2868,93",2097.782,"27,38409038","0,668",,25,"0,645",2019,https://c.files.bbci.co.uk/10A25/production/_109133186_subhalakshmi_nandi_300.jpg,identity
64,Trang Nguyen,@TrangN90,#InternationalWomensDay #Conservation,29,Conservationist,Viet Nam,"Trang Nguyen grew up in Vietnam, confronted from a young age with monkeys chained up for sale on the streets and bears held to extract bile for traditional medicine. So she obtained a PhD in Biodiversity Management, and set up WildAct, a non-profit organisation which helps authorities monitor illegal wildlife trade markets.","329,537",3416.232,"88,50085554","0,7",,0,"0,704",2019,https://c.files.bbci.co.uk/11246/production/_109141207_trang_tk_300.jpg,earth
65,Van Thi Nguyen,,#BBC,34,CEO,Viet Nam,"Van is co-founder of the Will to Live Center, which provides training for disabled people in Vietnam's capital, Hanoi.","329,537",3416.232,"88,50085554","0,7",,0,"0,704",2019,https://c.files.bbci.co.uk/13135/production/_109133187_nguyen_thi_van_300.jpg,leadership
66,Natasha Noel,@natashanoel001,,25,Yoga expert,India,"Natasha is a yogini, a female master practitioner of yoga and wellness coach.","2868,93",2097.782,"27,38409038","0,668",,25,"0,645",2019,https://c.files.bbci.co.uk/DD6C/production/_109148665_natasha_noel_300.jpg,identity
67,Alexandria Ocasio-Cortez,@AOC,#Economics #Politics,30,Congresswoman,United States of America (the),"This year, aged 29, Alexandria Ocasio-Cortez became the youngest woman ever to serve in the United States Congress. She grew up in the Bronx and volunteered as a campaigner in the 2016 Presidential elections.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/A5CA/production/_109224424_alexandria_ocasio_cortez_30.jpg,leadership
68,Farida Osman,@FaridaOsman,#farida_osman #swimming,24,Swimmer,Egypt,"Nicknamed 'the golden fish', in 2017 Farida became the first woman in Egypt to win a medal when she claimed bronze in the 50m butterfly at the FINA World Aquatics Championships.","302,335",3043.64,"25,93789456","0,629",,25,"0,707",2019,https://c.files.bbci.co.uk/13956/production/_109141208_farida_osman_300.jpg,sport
69,Ashcharya Peiris,,#100women #women ,,Designer,Sri Lanka,"Ashcharya Peiris was on her way home from work at a bank in Sri Lanka when a bomb blast left her blind in 2000. She lost her job to her disability, but ended up fulfilling her dream of becoming a fashion designer by describing her designs to a seamstress.","83,996",3852.484,"45,52238891","0,68",,25,"0,782",2019,https://c.files.bbci.co.uk/169D9/production/_109133629_ashcharya_300.jpg,creativity
70,Danit Peleg,@danitpeleg3d,#TEDYouth #100women #3dprinting #3DPrinting,30,Designer,Israel,"Fashion designer Danit once found herself at a conference with nothing to wear, so quickly designed a skirt on her laptop and 3D-printed it.","394,652",43603.013,"87,6986452","0,718",19,25,"0,919",2019,https://c.files.bbci.co.uk/0E31/production/_109133630_danit_peleg_300.jpg,creativity
71,Autumn Peltier,@StephaniePelti3,#Water,15,Clean water advocate,Canada,Autumn Peltier has been campaigning for clean drinking water for indigenous people in Canada since she was just eight years old.,"1736,426",46271.717,"87,15426518","0,772",50,50,"0,929",2019,https://c.files.bbci.co.uk/3541/production/_109133631_autumn_peltier_300.jpg,earth
72,Swietenia Puspa Lestari,,#30Under30 #DiversCleanAction #MondayMotivation #Sustainability #plasticfree,25,Diver/environmentalist,Indonesia,"Swietenia founded the Divers Clean Action Foundation to clear marine debris in Indonesia. They now have 1,500 volunteers working across the island nation and South East Asia.","1120,141",4196.67,"65,4861903","0,7",,25,"0,718",2019,https://c.files.bbci.co.uk/901D/production/_109139863_swietenia_300.jpg,earth
73,Megan Rapinoe,@mPinoe,#USWNT,34,Footballer,United States of America (the),"Megan Rapinoe is a two-time World Cup winner and co-captain of the US Women's National Team. She led the team to victory in the 2019 Women's World Cup, scoring some of the biggest goals of the tournament.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/5C51/production/_109133632_megan_rapinoe_300.jpg,sport
74,Onjali Rauf,@OnjaliRauf,#InternationalWomensDay,38,Writer,United Kingdom of Great Britain and Northern Ireland (the),Onjali Rauf was recovering from life-saving surgery when the idea for her first book came to her.,"2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/1612E/production/_109141409_onjali_rauf_300.jpg,leadership
75,Charlene Ren,,#GenderEquity #WomenInScience ,,Clean water advocate,China,"As a graduate student, Charlene Ren created MyH2O, a solution to the lack of clean drinking water in rural China. ","14401,726",10286.58,"80,06609183","0,676",,0,"0,761",2019,https://c.files.bbci.co.uk/8361/production/_109133633_charlene_ren_300.jpg,earth
76,Maria Ressa,@mariaressa,#CourageON #HoldTheLine,56,Journalist,Philippines (the),Maria Ressa is an award-winning journalist from the Philippines who set up website Rappler to expose fake news. ,"376,795",3511.935,"64,33748257","0,781",,0,"0,718",2019,https://c.files.bbci.co.uk/098A/production/_109224420_maria_ressa_300.jpg,leadership
77,Djamila Ribeiro,,#DjamilaRibeiro #100women ,39,Writer/equality activist,Brazil,Writer Djamila Ribeiro is one of the most influential figures in the Afro-Brazilian women's rights movement.,"1839,077",8751.381,"74,09549601","0,691",,25,"0,765",2019,https://c.files.bbci.co.uk/AA71/production/_109133634_djamila_ribeiro_300.jpg,identity
78,Jawahir Roble,@jj_Roble,#WomenInSport #AfricanWomeninSport @BBCNews,24,Referee,Somalia,"Jawahir Roble is the UK's first Muslim, black, female, hijab-wearing referee.","4,942",320,"30,07854846",,,25,,2019,https://c.files.bbci.co.uk/D181/production/_109133635_jj_roble_300.jpg,sport
79,Najat Saliba,@najat_saliba,#WomenInSTEM #Lebanon #lebanonrevolution,,Chemistry professor,Lebanon,"Professor Saliba is conducting world-leading research on polluted air. She grew up on her family's farm in rural Lebanon, but when civil war prompted a move to the city, she was awakened to the disturbing realities of air pollution.","52,522",7661.073,"32,0304922","0,599",,50,"0,744",2019,https://c.files.bbci.co.uk/15CA6/production/_109145298_najat_saliba_300.jpg,earth
80,Nanjira Sambuli,@NiNanjira,#digitalcooperation #ArtificialInteligence #AI,31,Digital equality expert,Kenya,Nanjira leads the World Wide Web Foundation in its bid to increase digital equality.,"95,41",2004.42,"94,09382371","0,671",,25,"0,601",2019,https://c.files.bbci.co.uk/F891/production/_109133636_nanjira_sambuli_300.jpg,identity
81,Zehra Sayers,@sayers_zehra,#ZehraSayers #100women #biophysicist @sabanciu,66,Scientist,Turkey,Biophysicist Zehra Sayers has been hailed as a beacon of hope for the Middle East (Nature journal) for her success in her contribution to bringing scientists from eight Middle Eastern countries together.,"760,94",9150.862,"47,49168337","0,635","12,5",50,"0,82",2019,https://c.files.bbci.co.uk/17FCE/production/_109145289_zehra_sayers_300.jpg,knowledge
82,Hayfa Sdiri,@HayfaSdiri,#BBC100women #UNDP #tunisia #BBC,22,Entrepreneur,Tunisia,"At 16, Hayfa founded not-for-profit Entrcrush, an online platform for future entrepreneurs where they could be matched with donors, and take e-courses in areas like management and accounting.","38,797",3292.594,"36,11433554","0,644",,25,"0,74",2019,https://c.files.bbci.co.uk/11FA1/production/_109133637_hayfa_sdiri_300.jpg,knowledge
83,Noor Shaker,@noorshak,#WomenInSTEM #artificalintelligence #womenwhocode,,Computer scientist,Syrian Arab Republic,"Computer scientist Noor Shaker left Syria for Europe in 2008 to follow her passion for Artificial Intelligence. After a successful decade in academia, she turned her skills toward entrepreneurial innovation. Motivated by her mother's fight against cancer, Shaker was compelled to bring her knowledge of AI to the medical world. ",,,"19,78760638","0,567",,50,"0,567",2019,https://c.files.bbci.co.uk/2426/production/_109145290_noor_shaker_300.jpg,knowledge
84,Bonita Sharma,@xbonita7,#BBC100Women #Nutribeads #education #bbc100women2019,,Innovator,Nepal,"Inspired by her mum's determination to obtain a degree despite pressure to become a housewife, Bonita Sharma helps educate and empower women and girls in her native Nepal.","30,69",1078.556,"97,44201898","0,68",,25,"0,602",2019,https://c.files.bbci.co.uk/146B1/production/_109133638_bonita_sharma_300.jpg,knowledge
85,Vandana Shiva,@drvandanashiva,#vandanashiva #GandhiAt150,67,Environmentalist ,India,"In the 1970s, she was part of a movement of women who threw their arms around trees to prevent them being felled - the original 'tree-huggers'.","2868,93",2097.782,"27,38409038","0,668",,25,"0,645",2019,https://c.files.bbci.co.uk/17889/production/_109139369_vandana_shiva_300.jpg,earth
86,Pragati Singh,@Dr_PragatiSingh,@indianaces_,,Doctor,India,"When qualified doctor Pragati Singh started researching asexuality, she received messages from women who didn't want to have sex but were facing an arranged marriage.","2868,93",2097.782,"27,38409038","0,668",,25,"0,645",2019,https://c.files.bbci.co.uk/1CE1/production/_109139370_pragati_singh_300.jpg,identity
87,Lyubov Sobol,@SobolLubov,@navalny #Russia #Putin,32,Anti-corruption activist,Russian Federation (the),"Lawyer Lyubov Sobol investigates alleged corruption in Russia, documenting her work through social media and a YouTube channel with over a million subscribers.","1702,496",11601.418,"78,15006399","0,706",,50,"0,824",2019,https://c.files.bbci.co.uk/43F1/production/_109139371_lyubov_sobol_300.jpg,leadership
88,Samah Subay,,#Yemen #BBC100women,,Lawyer,Yemen,Samah is a lawyer who has worked tirelessly in difficult circumstances since the war in Yemen started in 2015. She provides legal support to families whose children have 'disappeared'. ,"22,568",713.072,"8,550396396","0,494",,50,"0,47",2019,https://c.files.bbci.co.uk/4B36/production/_109145291_samah_subay_300.jpg,leadership
89,Kalista Sy,@Kalista_Sy,#kebetu @BBCAfrica #BBC100Women #africanqueen,37,Screenwriter/producer,Senegal,Self-taught screenwriter Kalista Sy's TV series Mistress of a Married Man sent shock waves through her home country when it was released earlier this year.,"23,579",1445.885,"61,22733361","0,684",,0,"0,512",2019,https://c.files.bbci.co.uk/6B01/production/_109139372_kalista_sy_300.jpg,creativity
90,Bella Thorne,@bellathorne,#BellaThorne #ForbiddenFlowers,22,Actress/director,United States of America (the),"This summer, 22-year-old actress and director Bella Thorne released her own topless photos after a hacker threatened to leak them, saying, “It's my decision now, you don't get to take another thing from me.”","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/14F9B/production/_109251958_bella_thorne_getty_300.jpg,identity
91,Veronique Thouvenot,@Vthouvenot,#100Women #Thouvenot #BBC #VeroniqueThouvenot,62,Health expert,Chile,Veronique Thouvenot leads the Zero Mothers Die initiative.,"282,254",14772.111,"70,59144341","0,723","34,8",0,"0,851",2019,https://c.files.bbci.co.uk/E031/production/_109139375_veronique_thouvenot_300.jpg,knowledge
92,Greta Thunberg,@GretaThunberg,#ClimateStrike #FridaysForFuture #SchoolStrike4Climate #FaceTheClimateEmergency,16,Climate change activist,Sweden,"In August 2018, 15-year-old Greta Thurnberg skipped school to protest outside the Swedish parliament. What started as a one-person strike has since spread to a worldwide protest over climate change. Her actions have mobilised activists across the world, with millions of young people taking part in Fridays for Future.","530,884",51404.434,"90,38404931","0,82","54,5",50,"0,945",2019,https://c.files.bbci.co.uk/E776/production/_109145295_greta_thunberg_300.jpg,earth
93,Paola Villarreal,@paw,#BBC100women #100Women @BBC,35,Computer programmer,Mexico,"Self-taught computer programmer Paola helped reverse 20,000 racially-biased drugs convictions by developing Data for Justice, a tool with an interactive map comparing police activity in white and minority neighborhoods.","1258,206",9862.44,"58,07109577","0,754","42,1",25,"0,779",2019,https://c.files.bbci.co.uk/B921/production/_109139374_paola_villarreal_300.jpg,knowledge
94,Ida Vitale,@IdaVitale3,#IdaVitale,96,Poet,Uruguay,"At 95, poet Ida Vitale is winner of the Cervantes Prize, the most prestigious literary award in the Spanish-speaking world.","56,686",16110.742,"75,75467802","0,737",,25,"0,817",2019,https://c.files.bbci.co.uk/12C5D/production/_109139867_ida_vitale_300.jpg,creativity
95,Purity Wako,,#Uganda #PurityWako,,Life coach,Uganda,Purity is a modern day 'senga'. The role traditionally sees aunt-figures training brides-to-be in how to sexually satisfy their husbands.,"36,484",916.156,"91,21014283","0,717",,25,"0,544",2019,https://c.files.bbci.co.uk/10741/production/_109139376_purity_wako_300.jpg,identity
96,Marilyn Waring,@Ashley69041706,@BBCWorld #100women,67,Economist/environmentalist,New Zealand,"Best-known for becoming New Zealand's youngest member of parliament in 1975 aged 23, Marilyn Waring is a pioneer of feminist economics, and author of the groundbreaking Counting for Nothing, which highlighted the value of womens' unpaid work.","205,217",41666.635,"86,99382631","0,799","30,8",50,"0,931",2019,https://c.files.bbci.co.uk/12E51/production/_109139377_marilyn_waring_300.jpg,earth
97,Amy Webb,@amywebb,#womenmakinghistory #WomenMakingHistoryMonth,45,Futurist,United States of America (the),Amy Webb is a futurist who advises government leaders and the CEOs of some of the world's largest companies on how to prepare for complex futures.,"21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/15561/production/_109139378_amy_webb_300.jpg,knowledge
98,Sara Wesslin,@sarawesslin,@ylesapmi #koltansaame ,28,Journalist,Finland,Sara Wesslin is a Skolt Sami journalist. The Sami are the only indigenous people in the EU.,"269,327",48809.551,"88,47435793","0,832","37,5",0,"0,938",2019,https://c.files.bbci.co.uk/17695/production/_109139859_sara_wesslin_300.jpg,identity
99,Gina Zurlo,@gina_zurlo,@CSGC,,Scholar of religion,United States of America (the),"Having studied everything from megachurch social media use to whether women are more religious than men, Gina Zurlo is an expert in religion statistics.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/1AED/production/_109139860_gina_zurlo_300.jpg,identity
