Unnamed: 0,name,username_twitter,hashtag,age,job,country,description,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi,year,image,category
57,Mumtaz Shaikh,,#GivingTuesdayIndia,33,Campaigner,India,"After decades of women being charged to use urinals in India, despite the fact they are free for men, she succeeded in providing free facilities for women through the Right to Pee network. She ensured 96 toilets were free for women to use in Mumbai and made the government set aside 50 million rupees ($770) to build female-only urinals around the city.","2103,588",1605.605,"27,91085052","0,664",,,"0,624",2015,,
58,Kanika Tekriwal,,#kanikatekriwal @jetsetgoin #aviation,27,Entrepreneur,India,"After being diagnosed with cancer in her early 20s, Kanika was determined to make her mark. She established India’s first and only marketplace for private jet and helicopter charters. Kanika features in our '30 under 30' strand.","2103,588",1605.605,"27,91085052","0,664",,,"0,624",2015,,
59,Niloufar Ardalan,,#NiloufarArdalan,30,Footballer,Iran (Islamic Republic of),"Niloufar is the captain of Iran's women’s football team. Known locally as Lady Goal, she became a somewhat reluctant feminist icon after her husband refused to allow her to travel abroad for a tournament.","375,404",4723.476,"21,21429614","0,58",,,"0,774",2015,,
60,Masoumeh Ataei,,#MasoumehAtaei #AcidVictim,31,Acid attack survivor,Iran (Islamic Republic of),"Blinded and scarred for life after suffering an acid attack at the hands of her ex father-in-law, she then fought for custody of her young son, which was to have been awarded to the family who blinded her. She eventually won her battle and now campaigns on the issue of acid attacks.","375,404",4723.476,"21,21429614","0,58",,,"0,774",2015,,
61,Monir Farmanfarmaian,,#womensart #IranianWomen,91,Artist,Iran (Islamic Republic of),"Monir is a contemporary artist who has been making intricate geometric sculptures and works on paper for the last 40 years. She spent 26 years in exile in the US as a result of the 1970s Islamic Revolution, returning to Tehran in 2004.","375,404",4723.476,"21,21429614","0,58",,,"0,774",2015,,
62,Nareen Shammo,@NareenShammo,#EMAGA2019,28,Activist/journalist,Iraq,"Nareen has dedicated herself to trying to free Yazidi slave women captured by so-called Islamic State militants. The former journalist has saved hundreds of women of the Yazidi population - an ethno-religious group - who were raped, sold on slavery markets and forced to convert to Islam.","177,722",5047.118,"19,0895551",,,,"0,649",2015,,
63,Rivka Carmi,,#WomenInStem #Israel,67,Geneticist,Israel,"Professor Rivka Carmi is president of Ben-Gurion University of the Negev, the first female president of an Israeli research university. A world-renowned geneticist and a pediatrician by training, she began the study of genetic diseases in the Bedouin community, which has led to a drastic reduction in infant mortality rates.","300,123",35828.169,"84,86548679","0,712","18,2","26,7","0,91",2015,,
64,Louise Schwartz,,,87,Former showgirl,Jamaica,"Louise is a former bar owner who partied with her next door neighbour Hugh Hefner and ran a popular bar in the 1980s open to both gay and straight patrons - unusual for that time in Jamaica. Now in her late 80s, she struggles to make ends meet but still refuses to call it a night. Louise features in our 'Vintage ladies' strand.","14,153",5193.26,"80,18736181","0,703",,,"0,731",2015,,
65,Linda Kwamboka,@kwambokalinda,#globalag #agripreneurship,27,Entrepreneur,Kenya,"Linda co-founded MFarm Ltd which aims to empower farmers both in Kenya and around the globe. The company provides farmers with a transparency tool which gives them up-to-date market information, aggregates farmers' needs and orders, and connects them so they can sell collectively. Linda appears in our '30 under 30' strand.","64,235",1483.484,"91,0443891","0,719",,,"0,587",2015,,
66,Catherine Mahugu,@catherinemahugu,#Entrepreneur #OYW2019,27,Entrepreneur,Kenya,"The founder of Soko, an e-commerce platform which allows local artisans to sell handcrafted jewellery directly to the consumer. Her aim is to promote direct trade between African designers and customers worldwide. Catherine features in our '30 under 30' strand.","64,235",1483.484,"91,0443891","0,719",,,"0,587",2015,,
